"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: FiveWs Pattern Mapping","Mapping: RIM Mapping"
"InsurancePlan.plan.specificCost.benefit.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"InsurancePlan.plan.specificCost.benefit.type","","","",1,1,"Y","","","CodeableConcept {[]} {[]}
","Type of specific benefit","Type of specific benefit (preventative; primary care office visit; speciality office visit; hospitalization; emergency room; urgent care).","","","","","","","","","",,"example","","http://hl7.org/fhir/uv/vhdir/ValueSet/insuranceplanbenefittype","",,,,"InsurancePlan.plan.specificCost.benefit.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"InsurancePlan.plan.specificCost.benefit.cost","","","",0,*,"Y","","","BackboneElement {[]} {[]}
","List of the costs","List of the costs associated with a specific benefit.","","","","","","","","","",,,,,"",,,,"InsurancePlan.plan.specificCost.benefit.cost",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"InsurancePlan.plan.specificCost.benefit.cost.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"InsurancePlan.plan.specificCost.benefit.cost.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"InsurancePlan.plan.specificCost.benefit.cost.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"InsurancePlan.plan.specificCost.benefit.cost.type","","","",1,1,"Y","","","CodeableConcept {[]} {[]}
","Type of cost","Type of cost (copay; individual cap; family cap; coinsurance; deductible).","","","","","","","","","",,"example","","http://hl7.org/fhir/uv/vhdir/ValueSet/insuranceplanbenefitcosttype","",,,,"InsurancePlan.plan.specificCost.benefit.cost.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"InsurancePlan.plan.specificCost.benefit.cost.applicability","","","",0,1,"Y","","","CodeableConcept {[]} {[]}
","in-network | out-of-network | other","Whether the cost applies to in-network or out-of-network providers (in-network; out-of-network; other).","","","","","","","","","",,"required","Whether the cost applies to in-network or out-of-network providers.","http://hl7.org/fhir/ValueSet/insuranceplan-applicability|4.0.1","",,,,"InsurancePlan.plan.specificCost.benefit.cost.applicability",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"InsurancePlan.plan.specificCost.benefit.cost.qualifiers","","","",0,*,"Y","","","CodeableConcept {[]} {[]}
","Additional information about the cost","Additional information about the cost, such as information about funding sources (e.g. HSA, HRA, FSA, RRA).","","","","","","","","","",,"example","","http://hl7.org/fhir/uv/vhdir/ValueSet/insuranceplancostqualifier","",,,,"InsurancePlan.plan.specificCost.benefit.cost.qualifiers",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"InsurancePlan.plan.specificCost.benefit.cost.value","","","",0,1,"Y","","","Quantity {[]} {[]}
","The actual cost value","The actual cost value. (some of the costs may be represented as percentages rather than currency, e.g. 10% coinsurance).","","","","","","","","","",,,,,"",,,,"InsurancePlan.plan.specificCost.benefit.cost.value",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
